Accuracy of xgb 0.770 params {'max_depth': 6, 'learning_rate': '0.190', 'n_estimators': 1000, 'min_child_weight': 7, 'gamma': '4.300', 'subsample': '0.400', 'colsample_bytree': '0.200', 'reg_alpha': '0.900', 'objective': 'binary:logistic', 'scale_pos_weight': '4.900'}
Accuracy of xgb 0.795 params {'max_depth': 19, 'learning_rate': '0.050', 'n_estimators': 1400, 'min_child_weight': 3, 'gamma': '3.000', 'subsample': '0.400', 'colsample_bytree': '0.700', 'reg_alpha': '0.100', 'objective': 'binary:logistic', 'scale_pos_weight': '5.900'}
Accuracy of xgb 0.732 params {'max_depth': 4, 'learning_rate': '0.480', 'n_estimators': 1200, 'min_child_weight': 8, 'gamma': '4.600', 'subsample': '0.300', 'colsample_bytree': '0.300', 'reg_alpha': '0.600', 'objective': 'binary:logistic', 'scale_pos_weight': '5.500'}
Accuracy of xgb 0.801 params {'max_depth': 16, 'learning_rate': '0.090', 'n_estimators': 1000, 'min_child_weight': 1, 'gamma': '4.000', 'subsample': '0.400', 'colsample_bytree': '0.300', 'reg_alpha': '2.800', 'objective': 'binary:logistic', 'scale_pos_weight': '2.400'}
Accuracy of xgb 0.774 params {'max_depth': 17, 'learning_rate': '0.050', 'n_estimators': 800, 'min_child_weight': 5, 'gamma': '3.600', 'subsample': '0.300', 'colsample_bytree': '0.400', 'reg_alpha': '3.500', 'objective': 'binary:logistic', 'scale_pos_weight': '6.000'}
Accuracy of xgb 0.782 params {'max_depth': 12, 'learning_rate': '0.180', 'n_estimators': 800, 'min_child_weight': 2, 'gamma': '2.600', 'subsample': '0.400', 'colsample_bytree': '0.500', 'reg_alpha': '4.500', 'objective': 'binary:logistic', 'scale_pos_weight': '5.700'}
Accuracy of xgb 0.399 params {'max_depth': 15, 'learning_rate': '0.000', 'n_estimators': 1400, 'min_child_weight': 5, 'gamma': '2.900', 'subsample': '0.300', 'colsample_bytree': '0.300', 'reg_alpha': '2.200', 'objective': 'binary:hinge', 'scale_pos_weight': '3.300'}
Accuracy of xgb 0.745 params {'max_depth': 19, 'learning_rate': '0.090', 'n_estimators': 1400, 'min_child_weight': 9, 'gamma': '2.200', 'subsample': '0.400', 'colsample_bytree': '0.300', 'reg_alpha': '1.900', 'objective': 'binary:hinge', 'scale_pos_weight': '0.900'}
Accuracy of xgb 0.773 params {'max_depth': 20, 'learning_rate': '0.030', 'n_estimators': 1100, 'min_child_weight': 6, 'gamma': '1.600', 'subsample': '0.300', 'colsample_bytree': '0.500', 'reg_alpha': '2.200', 'objective': 'binary:hinge', 'scale_pos_weight': '2.400'}
Accuracy of xgb 0.751 params {'max_depth': 15, 'learning_rate': '0.120', 'n_estimators': 1000, 'min_child_weight': 3, 'gamma': '2.900', 'subsample': '0.400', 'colsample_bytree': '0.300', 'reg_alpha': '3.200', 'objective': 'binary:hinge', 'scale_pos_weight': '3.200'}
Accuracy of xgb 0.723 params {'max_depth': 14, 'learning_rate': '0.450', 'n_estimators': 1300, 'min_child_weight': 6, 'gamma': '2.400', 'subsample': '0.300', 'colsample_bytree': '0.400', 'reg_alpha': '2.700', 'objective': 'binary:hinge', 'scale_pos_weight': '2.000'}
Accuracy of xgb 0.727 params {'max_depth': 17, 'learning_rate': '0.370', 'n_estimators': 700, 'min_child_weight': 3, 'gamma': '3.100', 'subsample': '0.400', 'colsample_bytree': '0.300', 'reg_alpha': '2.400', 'objective': 'binary:hinge', 'scale_pos_weight': '4.200'}
Accuracy of xgb 0.796 params {'max_depth': 9, 'learning_rate': '0.070', 'n_estimators': 500, 'min_child_weight': 10, 'gamma': '1.900', 'subsample': '0.500', 'colsample_bytree': '0.400', 'reg_alpha': '3.700', 'objective': 'binary:hinge', 'scale_pos_weight': '2.700'}
Accuracy of xgb 0.726 params {'max_depth': 15, 'learning_rate': '0.220', 'n_estimators': 1400, 'min_child_weight': 8, 'gamma': '1.600', 'subsample': '0.300', 'colsample_bytree': '0.200', 'reg_alpha': '2.100', 'objective': 'binary:hinge', 'scale_pos_weight': '1.200'}
Accuracy of xgb 0.792 params {'max_depth': 18, 'learning_rate': '0.030', 'n_estimators': 800, 'min_child_weight': 5, 'gamma': '3.800', 'subsample': '0.400', 'colsample_bytree': '0.400', 'reg_alpha': '3.100', 'objective': 'binary:hinge', 'scale_pos_weight': '0.700'}
Accuracy of xgb 0.728 params {'max_depth': 14, 'learning_rate': '0.310', 'n_estimators': 1300, 'min_child_weight': 2, 'gamma': '4.100', 'subsample': '0.500', 'colsample_bytree': '0.300', 'reg_alpha': '1.400', 'objective': 'binary:hinge', 'scale_pos_weight': '1.500'}
Accuracy of xgb 0.739 params {'max_depth': 7, 'learning_rate': '0.420', 'n_estimators': 1100, 'min_child_weight': 7, 'gamma': '2.500', 'subsample': '0.600', 'colsample_bytree': '0.500', 'reg_alpha': '1.800', 'objective': 'binary:hinge', 'scale_pos_weight': '2.200'}
Accuracy of xgb 0.742 params {'max_depth': 13, 'learning_rate': '0.240', 'n_estimators': 700, 'min_child_weight': 9, 'gamma': '4.900', 'subsample': '0.400', 'colsample_bytree': '0.700', 'reg_alpha': '3.400', 'objective': 'binary:hinge', 'scale_pos_weight': '3.000'}
